seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12647,2024,KSA.KINGS.CUP,18459,270416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,929,270417,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,22024,270459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:58
12647,2024,KSA.KINGS.CUP,2276,270670,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:59
12647,2024,KSA.KINGS.CUP,817,270910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,22280,270911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:00
12647,2024,KSA.KINGS.CUP,18459,271331,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,18459,271460,1,1,0,0,0,0,0,0,0,1,2,1,0,0,1,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,817,271461,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,22028,271901,1,0,2,2,0,0,0,1,0,0,1,0,0,0,3,2024-10-13 05:11:05
12647,2024,KSA.KINGS.CUP,22028,273223,1,0,1,3,0,0,0,0,0,1,2,0,0,0,3,2024-10-13 05:11:05
12647,2024,KSA.KINGS.CUP,793,273590,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:59
12647,2024,KSA.KINGS.CUP,21833,274257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-10-13 05:11:06
12647,2024,KSA.KINGS.CUP,21831,276241,1,0,4,0,1,0,0,1,0,0,5,0,0,0,2,2024-10-13 05:10:55
12647,2024,KSA.KINGS.CUP,817,277306,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:10:57
12647,2024,KSA.KINGS.CUP,21827,278537,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2024-10-13 05:10:56
