seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12726,714879,8,43608016,82',Jack Murray (Elgin City) Goal at 82',2024-08-25 05:40:01
12726,714879,9,43608204,86',Oliver Mcdonald (Elgin City) Substitution at 86',2024-08-25 05:40:01
12726,714879,10,43608219,87',Scott Robertson (Stranraer) Goal at 87',2024-08-25 05:40:01
12726,714879,11,43608477,90'+3',Jake Dolzanski (Elgin City) Yellow Card at 93',2024-08-25 05:40:01
12726,714880,0,43605538,33',Jack Brown (Peterhead) Substitution at 33',2024-08-25 05:40:01
12726,714880,1,43607690,72',Brogan Walls (Spartans FC) Substitution at 72',2024-08-25 05:40:01
12726,714880,2,43607691,72',Rory Whittaker (Spartans FC) Substitution at 72',2024-08-25 05:40:01
12726,714880,3,43607692,72',Rory McAllister (Peterhead) Substitution at 72',2024-08-25 05:40:01
12726,714880,4,43608175,83',Ben Armour (Peterhead) Substitution at 83',2024-08-25 05:40:01
12726,714881,0,43653925,24',Kerr Young (Bonnyrigg Rose) Goal at 24',2024-09-01 05:45:55
12726,714881,1,43654153,32',Sean Murphy (Bonnyrigg Rose) Substitution at 32',2024-09-01 05:45:55
12726,714881,2,43654537,43',Callum Connelly (Bonnyrigg Rose) Goal at 43',2024-09-01 05:45:55
12726,714881,3,43655007,45',Scott Robertson (Stranraer) Substitution at 45',2024-09-01 05:45:55
12726,714881,4,43655057,45',Matthew Grant (Stranraer) Substitution at 45',2024-09-01 05:45:55
